Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races,Estimate!!Total!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",id,Geographic Area Name
771,222,310,148,141,85,24,37,63,97,16,27,3,10,214,149,22,25,192,144,1500000US530530613005,"Block Group 5, Census Tract 613, Pierce County, Washington"
897,250,604,209,123,75,39,60,0,12,0,12,0,12,131,103,0,12,131,103,1500000US530530613006,"Block Group 6, Census Tract 613, Pierce County, Washington"
973,206,648,184,166,81,13,13,9,14,0,12,18,37,119,86,0,12,119,86,1500000US530530614001,"Block Group 1, Census Tract 614, Pierce County, Washington"
1569,352,1001,244,303,118,38,25,53,56,0,12,10,19,164,93,0,12,164,93,1500000US530530614002,"Block Group 2, Census Tract 614, Pierce County, Washington"
1057,184,455,134,162,117,0,12,279,120,0,12,54,56,107,85,0,12,107,85,1500000US530530614003,"Block Group 3, Census Tract 614, Pierce County, Washington"
1647,277,1459,282,21,34,36,56,48,44,0,12,0,12,83,58,0,12,83,58,1500000US530530615001,"Block Group 1, Census Tract 615, Pierce County, Washington"
1412,326,887,215,326,229,0,12,32,39,0,12,15,24,152,125,0,12,152,125,1500000US530530615002,"Block Group 2, Census Tract 615, Pierce County, Washington"
894,249,751,191,21,29,7,17,49,64,0,12,0,12,66,83,0,12,66,83,1500000US530530615003,"Block Group 3, Census Tract 615, Pierce County, Washington"
1047,320,949,289,3,7,1,2,0,12,0,12,0,12,94,79,0,12,94,79,1500000US530530615004,"Block Group 4, Census Tract 615, Pierce County, Washington"
1925,173,1197,191,256,120,13,30,282,88,4,9,0,12,173,88,7,10,166,85,1500000US530530616011,"Block Group 1, Census Tract 616.01, Pierce County, Washington"
846,102,588,94,79,52,4,7,68,47,35,47,16,13,56,43,12,14,44,41,1500000US530530616021,"Block Group 1, Census Tract 616.02, Pierce County, Washington"
1101,332,656,240,220,162,0,12,69,74,8,13,0,12,148,102,0,12,148,102,1500000US530530617001,"Block Group 1, Census Tract 617, Pierce County, Washington"
989,479,344,171,234,202,0,12,278,400,8,14,0,12,125,134,0,12,125,134,1500000US530530617002,"Block Group 2, Census Tract 617, Pierce County, Washington"
855,280,489,232,188,103,9,16,8,13,0,12,0,12,161,115,0,12,161,115,1500000US530530617003,"Block Group 3, Census Tract 617, Pierce County, Washington"
528,243,126,95,118,64,0,12,86,71,0,12,184,213,14,16,0,12,14,16,1500000US530530617004,"Block Group 4, Census Tract 617, Pierce County, Washington"
1096,274,653,238,265,120,0,12,85,75,0,12,27,44,66,70,0,12,66,70,1500000US530530617005,"Block Group 5, Census Tract 617, Pierce County, Washington"
1094,384,462,133,145,120,54,75,81,85,0,12,150,252,202,171,0,12,202,171,1500000US530530618001,"Block Group 1, Census Tract 618, Pierce County, Washington"
1147,451,428,143,34,42,15,23,583,484,4,9,11,18,72,65,0,12,72,65,1500000US530530618002,"Block Group 2, Census Tract 618, Pierce County, Washington"
566,221,315,110,67,100,10,17,34,40,14,22,20,24,106,100,0,12,106,100,1500000US530530618003,"Block Group 3, Census Tract 618, Pierce County, Washington"
862,301,407,180,64,40,31,29,120,94,0,12,207,204,33,41,0,12,33,41,1500000US530530619001,"Block Group 1, Census Tract 619, Pierce County, Washington"
923,242,686,221,117,62,14,24,5,9,0,12,47,50,54,79,0,12,54,79,1500000US530530619002,"Block Group 2, Census Tract 619, Pierce County, Washington"
920,252,651,183,0,12,23,28,14,16,0,12,156,160,76,62,0,12,76,62,1500000US530530620001,"Block Group 1, Census Tract 620, Pierce County, Washington"
1155,321,504,170,197,112,6,12,31,25,0,12,179,160,238,129,61,95,177,104,1500000US530530620002,"Block Group 2, Census Tract 620, Pierce County, Washington"
1082,247,451,179,176,212,0,12,42,48,0,12,243,137,170,157,0,12,170,157,1500000US530530620003,"Block Group 3, Census Tract 620, Pierce County, Washington"
1383,278,726,167,146,99,21,32,78,54,138,132,120,96,154,103,0,12,154,103,1500000US530530620004,"Block Group 4, Census Tract 620, Pierce County, Washington"
1389,349,666,205,60,52,82,80,287,221,0,12,17,25,277,186,9,17,268,186,1500000US530530623001,"Block Group 1, Census Tract 623, Pierce County, Washington"
1438,348,515,163,183,108,11,18,174,153,0,12,440,259,115,104,65,97,50,37,1500000US530530623002,"Block Group 2, Census Tract 623, Pierce County, Washington"
1352,330,585,162,171,110,0,12,449,286,0,12,76,122,71,95,0,12,71,95,1500000US530530623003,"Block Group 3, Census Tract 623, Pierce County, Washington"
1085,312,413,213,174,115,0,12,143,123,0,12,143,178,212,215,46,58,166,217,1500000US530530623004,"Block Group 4, Census Tract 623, Pierce County, Washington"
1651,493,1020,373,97,81,37,42,317,309,0,12,0,12,180,192,0,12,180,192,1500000US530530624001,"Block Group 1, Census Tract 624, Pierce County, Washington"
993,327,634,209,24,32,18,30,148,131,18,29,0,12,151,121,0,12,151,121,1500000US530530624002,"Block Group 2, Census Tract 624, Pierce County, Washington"
1095,384,937,413,28,44,43,73,19,31,0,12,0,12,68,80,0,12,68,80,1500000US530530624003,"Block Group 3, Census Tract 624, Pierce County, Washington"
975,359,859,384,19,33,0,12,53,79,0,12,0,12,44,55,0,12,44,55,1500000US530530624004,"Block Group 4, Census Tract 624, Pierce County, Washington"
808,245,403,176,358,187,47,53,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530624005,"Block Group 5, Census Tract 624, Pierce County, Washington"
1309,598,565,213,486,554,48,53,34,56,0,12,176,247,0,12,0,12,0,12,1500000US530530625001,"Block Group 1, Census Tract 625, Pierce County, Washington"
1663,641,1588,637,0,12,11,21,64,102,0,12,0,12,0,12,0,12,0,12,1500000US530530625002,"Block Group 2, Census Tract 625, Pierce County, Washington"
504,323,394,210,0,12,15,24,0,12,0,12,0,12,95,138,0,12,95,138,1500000US530530625003,"Block Group 3, Census Tract 625, Pierce County, Washington"
1067,389,557,317,9,22,0,12,0,12,0,12,403,214,98,108,0,12,98,108,1500000US530530625004,"Block Group 4, Census Tract 625, Pierce County, Washington"
1649,603,498,260,291,351,0,12,500,286,0,12,0,12,360,366,0,12,360,366,1500000US530530625005,"Block Group 5, Census Tract 625, Pierce County, Washington"
695,280,453,180,132,172,0,12,30,36,0,12,0,12,80,83,10,17,70,82,1500000US530530625006,"Block Group 6, Census Tract 625, Pierce County, Washington"
1030,418,623,286,150,212,0,12,182,213,0,12,0,12,75,102,0,12,75,102,1500000US530530625007,"Block Group 7, Census Tract 625, Pierce County, Washington"
1099,284,491,148,239,194,88,77,213,158,39,53,0,12,29,39,0,12,29,39,1500000US530530626001,"Block Group 1, Census Tract 626, Pierce County, Washington"
2067,340,1284,246,433,252,31,41,59,69,0,12,0,12,260,131,12,19,248,126,1500000US530530626002,"Block Group 2, Census Tract 626, Pierce County, Washington"
1222,386,810,348,234,176,0,12,101,104,0,12,0,12,77,85,0,12,77,85,1500000US530530628011,"Block Group 1, Census Tract 628.01, Pierce County, Washington"
2076,533,1017,381,630,312,0,12,52,84,0,12,13,24,364,271,0,12,364,271,1500000US530530628012,"Block Group 2, Census Tract 628.01, Pierce County, Washington"
1865,440,1195,333,412,353,0,12,38,56,0,12,23,40,197,176,0,12,197,176,1500000US530530628013,"Block Group 3, Census Tract 628.01, Pierce County, Washington"
1245,328,790,275,257,117,0,12,11,18,0,12,63,52,124,106,15,26,109,102,1500000US530530628014,"Block Group 4, Census Tract 628.01, Pierce County, Washington"
1828,329,1160,324,334,134,42,35,59,50,0,12,7,12,226,133,10,16,216,130,1500000US530530628021,"Block Group 1, Census Tract 628.02, Pierce County, Washington"
1377,357,772,303,197,127,0,12,191,150,88,136,0,12,129,108,0,12,129,108,1500000US530530628022,"Block Group 2, Census Tract 628.02, Pierce County, Washington"
954,296,601,264,98,79,11,17,71,77,40,51,75,111,58,53,0,12,58,53,1500000US530530628023,"Block Group 3, Census Tract 628.02, Pierce County, Washington"
2681,533,1492,490,410,227,46,81,109,91,195,241,133,106,296,171,80,95,216,161,1500000US530530629001,"Block Group 1, Census Tract 629, Pierce County, Washington"
1482,463,681,288,334,305,0,12,83,63,0,12,235,394,149,127,0,12,149,127,1500000US530530629002,"Block Group 2, Census Tract 629, Pierce County, Washington"
719,225,656,222,0,12,0,12,0,12,0,12,1,2,62,65,31,68,31,34,1500000US530530629003,"Block Group 3, Census Tract 629, Pierce County, Washington"
815,267,478,192,75,79,12,20,62,70,0,12,0,12,188,232,0,12,188,232,1500000US530530629004,"Block Group 4, Census Tract 629, Pierce County, Washington"
852,378,627,376,51,59,0,12,0,12,0,12,165,202,9,15,0,12,9,15,1500000US530530629005,"Block Group 5, Census Tract 629, Pierce County, Washington"
857,351,601,224,165,226,19,32,72,100,0,12,0,12,0,12,0,12,0,12,1500000US530530629006,"Block Group 6, Census Tract 629, Pierce County, Washington"
1280,301,609,176,232,184,0,12,52,73,122,126,90,102,175,159,0,12,175,159,1500000US530530630001,"Block Group 1, Census Tract 630, Pierce County, Washington"
1769,332,1043,254,258,136,25,23,34,46,0,12,107,116,302,158,0,12,302,158,1500000US530530630002,"Block Group 2, Census Tract 630, Pierce County, Washington"
881,258,683,252,131,93,0,12,8,14,0,12,0,12,59,65,0,12,59,65,1500000US530530631001,"Block Group 1, Census Tract 631, Pierce County, Washington"
1267,350,655,141,48,46,13,20,80,74,19,29,299,321,153,130,88,121,65,91,1500000US530530631002,"Block Group 2, Census Tract 631, Pierce County, Washington"
830,259,361,128,139,149,113,157,7,12,64,112,0,12,146,155,0,12,146,155,1500000US530530631003,"Block Group 3, Census Tract 631, Pierce County, Washington"
1481,389,725,265,145,95,10,16,214,116,0,12,153,240,234,170,0,12,234,170,1500000US530530631004,"Block Group 4, Census Tract 631, Pierce County, Washington"
1171,257,688,199,38,26,0,12,189,161,0,12,193,196,63,49,13,21,50,46,1500000US530530632001,"Block Group 1, Census Tract 632, Pierce County, Washington"
2091,394,1223,327,215,170,47,46,120,112,127,118,86,126,273,130,7,14,266,127,1500000US530530632002,"Block Group 2, Census Tract 632, Pierce County, Washington"
694,174,522,161,40,42,0,12,9,32,0,12,95,149,28,43,28,43,0,12,1500000US530530632003,"Block Group 3, Census Tract 632, Pierce County, Washington"
730,205,491,155,20,23,11,19,58,60,0,12,10,16,140,101,15,24,125,98,1500000US530530632004,"Block Group 4, Census Tract 632, Pierce County, Washington"
825,237,639,227,42,58,0,12,25,56,0,12,0,12,119,120,0,12,119,120,1500000US530530632005,"Block Group 5, Census Tract 632, Pierce County, Washington"
1667,485,347,178,334,241,0,12,316,239,0,12,636,342,34,46,0,12,34,46,1500000US530530633001,"Block Group 1, Census Tract 633, Pierce County, Washington"
3141,836,1242,464,451,451,116,116,369,327,280,258,542,388,141,213,141,213,0,12,1500000US530530633002,"Block Group 2, Census Tract 633, Pierce County, Washington"
1379,415,516,278,97,88,0,12,309,187,97,105,232,347,128,135,0,12,128,135,1500000US530530633003,"Block Group 3, Census Tract 633, Pierce County, Washington"
1149,631,435,371,154,116,18,29,81,118,0,12,443,505,18,29,0,12,18,29,1500000US530530633004,"Block Group 4, Census Tract 633, Pierce County, Washington"
1177,382,723,327,22,24,0,12,296,204,0,12,86,123,50,67,12,21,38,63,1500000US530530633005,"Block Group 5, Census Tract 633, Pierce County, Washington"
910,346,387,171,207,304,0,12,190,160,0,12,76,103,50,58,0,12,50,58,1500000US530530634001,"Block Group 1, Census Tract 634, Pierce County, Washington"
2317,661,1689,572,272,263,39,118,40,47,5,156,0,12,272,353,20,33,252,352,1500000US530530634002,"Block Group 2, Census Tract 634, Pierce County, Washington"
771,323,420,211,13,22,0,12,150,125,39,61,32,37,117,190,0,12,117,190,1500000US530530634003,"Block Group 3, Census Tract 634, Pierce County, Washington"
646,250,437,203,79,97,0,12,38,60,0,12,38,61,54,55,0,12,54,55,1500000US530530634004,"Block Group 4, Census Tract 634, Pierce County, Washington"
1474,459,905,283,259,304,0,12,30,33,0,12,72,110,208,187,68,101,140,161,1500000US530530634005,"Block Group 5, Census Tract 634, Pierce County, Washington"
1235,423,484,239,89,139,0,12,378,262,0,12,0,12,284,430,0,12,284,430,1500000US530530634006,"Block Group 6, Census Tract 634, Pierce County, Washington"
801,319,299,135,192,201,0,12,10,14,0,12,156,177,144,130,0,12,144,130,1500000US530530635011,"Block Group 1, Census Tract 635.01, Pierce County, Washington"
1103,299,472,147,55,63,0,12,196,125,29,46,0,12,351,253,159,236,192,142,1500000US530530635012,"Block Group 2, Census Tract 635.01, Pierce County, Washington"
1059,266,293,130,304,134,0,12,238,117,10,15,55,90,159,178,0,12,159,178,1500000US530530635013,"Block Group 3, Census Tract 635.01, Pierce County, Washington"
1400,298,822,274,118,74,0,12,71,95,119,175,145,190,125,121,0,12,125,121,1500000US530530635014,"Block Group 4, Census Tract 635.01, Pierce County, Washington"
1149,297,281,181,229,182,0,12,391,203,0,12,9,13,239,173,0,12,239,173,1500000US530530635021,"Block Group 1, Census Tract 635.02, Pierce County, Washington"
2239,344,947,206,185,67,13,23,711,268,74,81,33,46,276,128,4,9,272,125,1500000US530530635022,"Block Group 2, Census Tract 635.02, Pierce County, Washington"
1483,394,722,273,85,60,0,12,388,206,141,193,0,12,147,93,0,12,147,93,1500000US530530635023,"Block Group 3, Census Tract 635.02, Pierce County, Washington"
688,169,610,180,0,12,7,12,21,35,0,12,29,37,21,28,0,12,21,28,1500000US530530701001,"Block Group 1, Census Tract 701, Pierce County, Washington"
0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1500000US530530701002,"Block Group 2, Census Tract 701, Pierce County, Washington"
1735,392,1521,326,126,198,14,17,12,18,24,35,0,12,38,46,0,12,38,46,1500000US530530701003,"Block Group 3, Census Tract 701, Pierce County, Washington"
1385,327,1339,328,0,12,0,12,0,12,0,12,0,12,46,53,10,18,36,43,1500000US530530701004,"Block Group 4, Census Tract 701, Pierce County, Washington"
2286,434,1986,388,37,44,60,63,8,12,0,12,18,29,177,160,26,41,151,156,1500000US530530702031,"Block Group 1, Census Tract 702.03, Pierce County, Washington"
2699,437,2172,349,135,208,8,15,8,12,0,12,10,15,366,326,0,12,366,326,1500000US530530702032,"Block Group 2, Census Tract 702.03, Pierce County, Washington"
693,277,640,269,17,27,21,32,0,12,0,12,15,23,0,12,0,12,0,12,1500000US530530702033,"Block Group 3, Census Tract 702.03, Pierce County, Washington"
1614,435,1569,423,0,12,0,12,0,12,0,12,0,12,45,57,0,12,45,57,1500000US530530702041,"Block Group 1, Census Tract 702.04, Pierce County, Washington"
