Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),id,Geographic Area Name
48021,7004,1500000US530530630001,"Block Group 1, Census Tract 630, Pierce County, Washington"
53785,3960,1500000US530530630002,"Block Group 2, Census Tract 630, Pierce County, Washington"
54125,10844,1500000US530530631001,"Block Group 1, Census Tract 631, Pierce County, Washington"
41694,14994,1500000US530530631002,"Block Group 2, Census Tract 631, Pierce County, Washington"
59844,23760,1500000US530530631003,"Block Group 3, Census Tract 631, Pierce County, Washington"
54444,24529,1500000US530530631004,"Block Group 4, Census Tract 631, Pierce County, Washington"
58906,12994,1500000US530530632001,"Block Group 1, Census Tract 632, Pierce County, Washington"
46392,2537,1500000US530530632002,"Block Group 2, Census Tract 632, Pierce County, Washington"
38472,36975,1500000US530530632003,"Block Group 3, Census Tract 632, Pierce County, Washington"
45859,17862,1500000US530530632004,"Block Group 4, Census Tract 632, Pierce County, Washington"
58021,16487,1500000US530530632005,"Block Group 5, Census Tract 632, Pierce County, Washington"
55099,19787,1500000US530530633001,"Block Group 1, Census Tract 633, Pierce County, Washington"
53297,12828,1500000US530530633002,"Block Group 2, Census Tract 633, Pierce County, Washington"
61667,40113,1500000US530530633003,"Block Group 3, Census Tract 633, Pierce County, Washington"
44663,39575,1500000US530530633004,"Block Group 4, Census Tract 633, Pierce County, Washington"
62161,7400,1500000US530530633005,"Block Group 5, Census Tract 633, Pierce County, Washington"
47083,23071,1500000US530530634001,"Block Group 1, Census Tract 634, Pierce County, Washington"
52083,13440,1500000US530530634002,"Block Group 2, Census Tract 634, Pierce County, Washington"
39659,33569,1500000US530530634003,"Block Group 3, Census Tract 634, Pierce County, Washington"
36944,14647,1500000US530530634004,"Block Group 4, Census Tract 634, Pierce County, Washington"
23625,4363,1500000US530530634005,"Block Group 5, Census Tract 634, Pierce County, Washington"
65688,22771,1500000US530530634006,"Block Group 6, Census Tract 634, Pierce County, Washington"
66719,34684,1500000US530530635011,"Block Group 1, Census Tract 635.01, Pierce County, Washington"
43788,6941,1500000US530530635012,"Block Group 2, Census Tract 635.01, Pierce County, Washington"
59145,6053,1500000US530530635013,"Block Group 3, Census Tract 635.01, Pierce County, Washington"
38477,14933,1500000US530530635014,"Block Group 4, Census Tract 635.01, Pierce County, Washington"
38068,22778,1500000US530530635021,"Block Group 1, Census Tract 635.02, Pierce County, Washington"
44632,14328,1500000US530530635022,"Block Group 2, Census Tract 635.02, Pierce County, Washington"
47207,13556,1500000US530530635023,"Block Group 3, Census Tract 635.02, Pierce County, Washington"
54375,23037,1500000US530530701001,"Block Group 1, Census Tract 701, Pierce County, Washington"
-,**,1500000US530530701002,"Block Group 2, Census Tract 701, Pierce County, Washington"
78667,18512,1500000US530530701003,"Block Group 3, Census Tract 701, Pierce County, Washington"
80114,25204,1500000US530530701004,"Block Group 4, Census Tract 701, Pierce County, Washington"
113889,26286,1500000US530530702031,"Block Group 1, Census Tract 702.03, Pierce County, Washington"
78017,5597,1500000US530530702032,"Block Group 2, Census Tract 702.03, Pierce County, Washington"
60909,13556,1500000US530530702033,"Block Group 3, Census Tract 702.03, Pierce County, Washington"
51250,12969,1500000US530530702041,"Block Group 1, Census Tract 702.04, Pierce County, Washington"
78333,13445,1500000US530530702042,"Block Group 2, Census Tract 702.04, Pierce County, Washington"
85603,32532,1500000US530530702051,"Block Group 1, Census Tract 702.05, Pierce County, Washington"
53704,49413,1500000US530530702052,"Block Group 2, Census Tract 702.05, Pierce County, Washington"
80357,8688,1500000US530530702061,"Block Group 1, Census Tract 702.06, Pierce County, Washington"
72375,26362,1500000US530530702062,"Block Group 2, Census Tract 702.06, Pierce County, Washington"
89063,10631,1500000US530530702063,"Block Group 3, Census Tract 702.06, Pierce County, Washington"
50750,28703,1500000US530530702071,"Block Group 1, Census Tract 702.07, Pierce County, Washington"
77988,9247,1500000US530530702072,"Block Group 2, Census Tract 702.07, Pierce County, Washington"
70417,17860,1500000US530530702073,"Block Group 3, Census Tract 702.07, Pierce County, Washington"
50313,14452,1500000US530530702074,"Block Group 4, Census Tract 702.07, Pierce County, Washington"
110917,11975,1500000US530530703071,"Block Group 1, Census Tract 703.07, Pierce County, Washington"
125639,24054,1500000US530530703072,"Block Group 2, Census Tract 703.07, Pierce County, Washington"
129531,35696,1500000US530530703073,"Block Group 3, Census Tract 703.07, Pierce County, Washington"
80677,10400,1500000US530530703081,"Block Group 1, Census Tract 703.08, Pierce County, Washington"
66221,10814,1500000US530530703082,"Block Group 2, Census Tract 703.08, Pierce County, Washington"
89261,11549,1500000US530530703091,"Block Group 1, Census Tract 703.09, Pierce County, Washington"
80424,6876,1500000US530530703092,"Block Group 2, Census Tract 703.09, Pierce County, Washington"
51250,9147,1500000US530530703093,"Block Group 3, Census Tract 703.09, Pierce County, Washington"
97045,19173,1500000US530530703101,"Block Group 1, Census Tract 703.10, Pierce County, Washington"
63114,15072,1500000US530530703102,"Block Group 2, Census Tract 703.10, Pierce County, Washington"
100417,16901,1500000US530530703103,"Block Group 3, Census Tract 703.10, Pierce County, Washington"
57941,10816,1500000US530530703104,"Block Group 4, Census Tract 703.10, Pierce County, Washington"
95541,5557,1500000US530530703111,"Block Group 1, Census Tract 703.11, Pierce County, Washington"
85833,23089,1500000US530530703112,"Block Group 2, Census Tract 703.11, Pierce County, Washington"
70363,16901,1500000US530530703113,"Block Group 3, Census Tract 703.11, Pierce County, Washington"
125089,71521,1500000US530530703121,"Block Group 1, Census Tract 703.12, Pierce County, Washington"
107386,13396,1500000US530530703122,"Block Group 2, Census Tract 703.12, Pierce County, Washington"
85227,20345,1500000US530530703123,"Block Group 3, Census Tract 703.12, Pierce County, Washington"
106231,18965,1500000US530530703131,"Block Group 1, Census Tract 703.13, Pierce County, Washington"
78235,39828,1500000US530530703132,"Block Group 2, Census Tract 703.13, Pierce County, Washington"
78846,46522,1500000US530530703133,"Block Group 3, Census Tract 703.13, Pierce County, Washington"
null,null,1500000US530530703134,"Block Group 4, Census Tract 703.13, Pierce County, Washington"
106797,23905,1500000US530530703135,"Block Group 5, Census Tract 703.13, Pierce County, Washington"
115595,23306,1500000US530530703141,"Block Group 1, Census Tract 703.14, Pierce County, Washington"
84643,31373,1500000US530530703142,"Block Group 2, Census Tract 703.14, Pierce County, Washington"
93625,15754,1500000US530530703151,"Block Group 1, Census Tract 703.15, Pierce County, Washington"
113750,31297,1500000US530530703152,"Block Group 2, Census Tract 703.15, Pierce County, Washington"
89735,26406,1500000US530530703153,"Block Group 3, Census Tract 703.15, Pierce County, Washington"
82375,28109,1500000US530530703154,"Block Group 4, Census Tract 703.15, Pierce County, Washington"
52958,15760,1500000US530530703161,"Block Group 1, Census Tract 703.16, Pierce County, Washington"
73750,11572,1500000US530530703162,"Block Group 2, Census Tract 703.16, Pierce County, Washington"
69276,8687,1500000US530530704011,"Block Group 1, Census Tract 704.01, Pierce County, Washington"
65921,17424,1500000US530530704012,"Block Group 2, Census Tract 704.01, Pierce County, Washington"
75021,15034,1500000US530530704031,"Block Group 1, Census Tract 704.03, Pierce County, Washington"
38750,16287,1500000US530530704032,"Block Group 2, Census Tract 704.03, Pierce County, Washington"
71747,4610,1500000US530530704033,"Block Group 3, Census Tract 704.03, Pierce County, Washington"
74430,22204,1500000US530530704041,"Block Group 1, Census Tract 704.04, Pierce County, Washington"
81111,9271,1500000US530530704042,"Block Group 2, Census Tract 704.04, Pierce County, Washington"
55521,12832,1500000US530530707031,"Block Group 1, Census Tract 707.03, Pierce County, Washington"
55880,6947,1500000US530530707032,"Block Group 2, Census Tract 707.03, Pierce County, Washington"
83382,31868,1500000US530530707033,"Block Group 3, Census Tract 707.03, Pierce County, Washington"
75469,18931,1500000US530530707034,"Block Group 4, Census Tract 707.03, Pierce County, Washington"
58466,7884,1500000US530530707035,"Block Group 5, Census Tract 707.03, Pierce County, Washington"
49844,12115,1500000US530530711001,"Block Group 1, Census Tract 711, Pierce County, Washington"
60809,9103,1500000US530530711002,"Block Group 2, Census Tract 711, Pierce County, Washington"
67500,18895,1500000US530530712051,"Block Group 1, Census Tract 712.05, Pierce County, Washington"
80523,15911,1500000US530530712052,"Block Group 2, Census Tract 712.05, Pierce County, Washington"
77578,20392,1500000US530530712061,"Block Group 1, Census Tract 712.06, Pierce County, Washington"
57396,35335,1500000US530530712062,"Block Group 2, Census Tract 712.06, Pierce County, Washington"
45101,11205,1500000US530530712063,"Block Group 3, Census Tract 712.06, Pierce County, Washington"
94615,24201,1500000US530530712064,"Block Group 4, Census Tract 712.06, Pierce County, Washington"
78821,12188,1500000US530530712071,"Block Group 1, Census Tract 712.07, Pierce County, Washington"
60541,19886,1500000US530530712072,"Block Group 2, Census Tract 712.07, Pierce County, Washington"
26807,11467,1500000US530530712073,"Block Group 3, Census Tract 712.07, Pierce County, Washington"
45404,7440,1500000US530530712081,"Block Group 1, Census Tract 712.08, Pierce County, Washington"
41618,8775,1500000US530530712082,"Block Group 2, Census Tract 712.08, Pierce County, Washington"
67332,18575,1500000US530530712083,"Block Group 3, Census Tract 712.08, Pierce County, Washington"
93583,11584,1500000US530530712091,"Block Group 1, Census Tract 712.09, Pierce County, Washington"
71321,9054,1500000US530530712092,"Block Group 2, Census Tract 712.09, Pierce County, Washington"
114861,27418,1500000US530530712093,"Block Group 3, Census Tract 712.09, Pierce County, Washington"
41815,24696,1500000US530530712101,"Block Group 1, Census Tract 712.10, Pierce County, Washington"
123750,9606,1500000US530530712102,"Block Group 2, Census Tract 712.10, Pierce County, Washington"
89766,10049,1500000US530530712103,"Block Group 3, Census Tract 712.10, Pierce County, Washington"
46681,12205,1500000US530530713041,"Block Group 1, Census Tract 713.04, Pierce County, Washington"
78862,9455,1500000US530530713042,"Block Group 2, Census Tract 713.04, Pierce County, Washington"
40598,15549,1500000US530530713043,"Block Group 3, Census Tract 713.04, Pierce County, Washington"
50938,11779,1500000US530530713051,"Block Group 1, Census Tract 713.05, Pierce County, Washington"
73241,14118,1500000US530530713052,"Block Group 2, Census Tract 713.05, Pierce County, Washington"
67861,19794,1500000US530530713061,"Block Group 1, Census Tract 713.06, Pierce County, Washington"
92857,37095,1500000US530530713062,"Block Group 2, Census Tract 713.06, Pierce County, Washington"
66858,12756,1500000US530530713063,"Block Group 3, Census Tract 713.06, Pierce County, Washington"
79921,11342,1500000US530530713064,"Block Group 4, Census Tract 713.06, Pierce County, Washington"
75833,27195,1500000US530530713071,"Block Group 1, Census Tract 713.07, Pierce County, Washington"
47188,14170,1500000US530530713072,"Block Group 2, Census Tract 713.07, Pierce County, Washington"
59071,5896,1500000US530530713073,"Block Group 3, Census Tract 713.07, Pierce County, Washington"
53000,14607,1500000US530530713091,"Block Group 1, Census Tract 713.09, Pierce County, Washington"
78750,25277,1500000US530530713092,"Block Group 2, Census Tract 713.09, Pierce County, Washington"
76136,13825,1500000US530530713093,"Block Group 3, Census Tract 713.09, Pierce County, Washington"
71964,12277,1500000US530530713101,"Block Group 1, Census Tract 713.10, Pierce County, Washington"
97404,11251,1500000US530530713102,"Block Group 2, Census Tract 713.10, Pierce County, Washington"
72269,18398,1500000US530530714031,"Block Group 1, Census Tract 714.03, Pierce County, Washington"
54107,12870,1500000US530530714032,"Block Group 2, Census Tract 714.03, Pierce County, Washington"
51683,16176,1500000US530530714033,"Block Group 3, Census Tract 714.03, Pierce County, Washington"
79238,12232,1500000US530530714061,"Block Group 1, Census Tract 714.06, Pierce County, Washington"
65357,38755,1500000US530530714062,"Block Group 2, Census Tract 714.06, Pierce County, Washington"
70000,35205,1500000US530530714063,"Block Group 3, Census Tract 714.06, Pierce County, Washington"
80380,35430,1500000US530530714064,"Block Group 4, Census Tract 714.06, Pierce County, Washington"
86719,29865,1500000US530530714071,"Block Group 1, Census Tract 714.07, Pierce County, Washington"
65179,24796,1500000US530530714072,"Block Group 2, Census Tract 714.07, Pierce County, Washington"
74844,19291,1500000US530530714073,"Block Group 3, Census Tract 714.07, Pierce County, Washington"
51157,11616,1500000US530530714074,"Block Group 4, Census Tract 714.07, Pierce County, Washington"
61833,19724,1500000US530530714081,"Block Group 1, Census Tract 714.08, Pierce County, Washington"
43816,21553,1500000US530530714082,"Block Group 2, Census Tract 714.08, Pierce County, Washington"
48710,3919,1500000US530530714083,"Block Group 3, Census Tract 714.08, Pierce County, Washington"
41676,6112,1500000US530530714091,"Block Group 1, Census Tract 714.09, Pierce County, Washington"
56250,11012,1500000US530530714092,"Block Group 2, Census Tract 714.09, Pierce County, Washington"
61602,6683,1500000US530530714093,"Block Group 3, Census Tract 714.09, Pierce County, Washington"
30880,11806,1500000US530530714094,"Block Group 4, Census Tract 714.09, Pierce County, Washington"
66838,31941,1500000US530530714101,"Block Group 1, Census Tract 714.10, Pierce County, Washington"
29688,25610,1500000US530530714102,"Block Group 2, Census Tract 714.10, Pierce County, Washington"
66652,19020,1500000US530530714103,"Block Group 3, Census Tract 714.10, Pierce County, Washington"
60425,9568,1500000US530530714104,"Block Group 4, Census Tract 714.10, Pierce County, Washington"
75724,13994,1500000US530530714111,"Block Group 1, Census Tract 714.11, Pierce County, Washington"
43214,10196,1500000US530530714112,"Block Group 2, Census Tract 714.11, Pierce County, Washington"
67288,8392,1500000US530530714113,"Block Group 3, Census Tract 714.11, Pierce County, Washington"
null,null,1500000US530530715031,"Block Group 1, Census Tract 715.03, Pierce County, Washington"
39271,12084,1500000US530530715032,"Block Group 2, Census Tract 715.03, Pierce County, Washington"
41771,32248,1500000US530530715033,"Block Group 3, Census Tract 715.03, Pierce County, Washington"
93333,85150,1500000US530530715034,"Block Group 4, Census Tract 715.03, Pierce County, Washington"
35417,10335,1500000US530530715041,"Block Group 1, Census Tract 715.04, Pierce County, Washington"
51458,28817,1500000US530530715042,"Block Group 2, Census Tract 715.04, Pierce County, Washington"
50492,12064,1500000US530530715043,"Block Group 3, Census Tract 715.04, Pierce County, Washington"
41875,13589,1500000US530530715044,"Block Group 4, Census Tract 715.04, Pierce County, Washington"
69167,28821,1500000US530530715051,"Block Group 1, Census Tract 715.05, Pierce County, Washington"
58750,21651,1500000US530530715052,"Block Group 2, Census Tract 715.05, Pierce County, Washington"
74653,8789,1500000US530530715053,"Block Group 3, Census Tract 715.05, Pierce County, Washington"
40682,13684,1500000US530530715054,"Block Group 4, Census Tract 715.05, Pierce County, Washington"
62438,18429,1500000US530530715061,"Block Group 1, Census Tract 715.06, Pierce County, Washington"
69569,10382,1500000US530530715062,"Block Group 2, Census Tract 715.06, Pierce County, Washington"
72866,4531,1500000US530530715063,"Block Group 3, Census Tract 715.06, Pierce County, Washington"
37620,6188,1500000US530530716011,"Block Group 1, Census Tract 716.01, Pierce County, Washington"
46600,5048,1500000US530530716012,"Block Group 2, Census Tract 716.01, Pierce County, Washington"
50833,6764,1500000US530530716021,"Block Group 1, Census Tract 716.02, Pierce County, Washington"
37595,5830,1500000US530530716022,"Block Group 2, Census Tract 716.02, Pierce County, Washington"
56281,21915,1500000US530530716023,"Block Group 3, Census Tract 716.02, Pierce County, Washington"
36818,30776,1500000US530530716024,"Block Group 4, Census Tract 716.02, Pierce County, Washington"
28340,3515,1500000US530530717031,"Block Group 1, Census Tract 717.03, Pierce County, Washington"
32321,19252,1500000US530530717032,"Block Group 2, Census Tract 717.03, Pierce County, Washington"
32130,8285,1500000US530530717041,"Block Group 1, Census Tract 717.04, Pierce County, Washington"
31034,5579,1500000US530530717042,"Block Group 2, Census Tract 717.04, Pierce County, Washington"
30119,3314,1500000US530530717043,"Block Group 3, Census Tract 717.04, Pierce County, Washington"
36034,9882,1500000US530530717051,"Block Group 1, Census Tract 717.05, Pierce County, Washington"
42665,3487,1500000US530530717052,"Block Group 2, Census Tract 717.05, Pierce County, Washington"
70250,23266,1500000US530530717053,"Block Group 3, Census Tract 717.05, Pierce County, Washington"
38631,3850,1500000US530530717061,"Block Group 1, Census Tract 717.06, Pierce County, Washington"
38179,5578,1500000US530530717071,"Block Group 1, Census Tract 717.07, Pierce County, Washington"
58831,7015,1500000US530530717072,"Block Group 2, Census Tract 717.07, Pierce County, Washington"
41310,12066,1500000US530530717073,"Block Group 3, Census Tract 717.07, Pierce County, Washington"
51548,9021,1500000US530530718031,"Block Group 1, Census Tract 718.03, Pierce County, Washington"
43302,17008,1500000US530530718032,"Block Group 2, Census Tract 718.03, Pierce County, Washington"
27930,2550,1500000US530530718033,"Block Group 3, Census Tract 718.03, Pierce County, Washington"
33024,16391,1500000US530530718034,"Block Group 4, Census Tract 718.03, Pierce County, Washington"
