OBJECTID,PropertyID,ParkType,ParkClass,Address,PostalCity,ZIPCode,Owner,Manager,ParkHours,AcresImproved,AcresUnimproved,ParkWebLink,IsPublicAccessible,Maplabel,GISAcres,Name,AltWebLink,RESTROOM,ADACOMPLY,PARKING,PAVED_TRAIL,UNPAVED_TRAIL,TRAILHEAD,COMMUNITY_CENTER,PICNIC,PLAYGROUND,DOG_PARK,BASEBALL,BASKETBALL,MULTIPURPOSE,GOLF,BEACH,FISHING,BOAT_LAUNCH,SKATE,TENNIS,BMX,CLIMBING,EQUESTRIAN,DISC_GOLF,ICE_RINK,QTR_MIDGET_TRACK,PARKSIZE,DESCRIPTION,VisibleInApp,Camping,SHAPE_Length,SHAPE_Area
295,2676,Park,Linear Park,101 Washington Av N,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),1.38,0,http://www.cityoforting.org/Parks___Recreation.php,1,North Park,1.3840954,North Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1201.3571813626,60290.9430012588
296,2677,Park,Local,Rocky Road NE,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),0,0, ,1,Carbon River Landing,27.76822882,Carbon River Landing, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,11700.4719713303,1209579.21208159
297,2679,Park,Local,Brown Wy SE,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),0,0, ,1,Rainier Meadows Park,4.21282266,Rainier Meadows Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3386.21525955603,183509.817011292
298,2680,Park,Local,945 Fawcett Av,Tacoma,98402,City of Tacoma,City of Tacoma, ,0,0, ,1,McCormick Park,0.43722606,McCormick Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,557.589346949947,19045.4926820476
299,2762,Trail,Linear Park,Claussen Rd AI,Anderson Island,98303,Anderson Island Park District,Anderson Island Park District,7 am to 10:30 pm,0,0, ,1,Deweyert/Claussen Trail,1.95730863,Deweyert/Claussen Trail, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2715.66414081838,85260.0554784858
300,2763,Wildlife Habitat,TBD,109TH AV AI,Anderson Island,98303,Anderson Island Park District,Anderson Island Park District,7 am to 10:30 pm,0,10,http://www.andersonislandparks.org/Tom_s_Park__to_be_Named_.html,1,Tom's Park,11.42042985,Tom's Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3874.0992738555,497471.946228744
301,2764,Park,Local,10804 Eckenstam Johnson Rd AI,Anderson Island,98303,Anderson Island Park District,Anderson Island Park District,7 am to 10:30 pm,0,0,http://www.andersonislandparks.org/Tom_White_Park.html,1,Tom White Park & Old Schoolhouse,7.29511613,Tom White Park & Old Schoolhouse, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3590.39565452378,317773.984865726
302,2765,Park Under Construction,Undeveloped Sites,13616 94TH ST AI,Anderson Island,98303,Anderson Island Park District,Anderson Island Park District,7 am to 10:30 pm,0,5,http://www.andersonislandparks.org/Montalvo_Park.html,1,Montalvo Park,4.98940042,Montalvo Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1981.43938007582,217337.358382073
304,2767,Park,Resource Conservancy,55 Bella Bella Dr,Fox Island,98333,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,Dawn to Dusk,0,5.5,https://penmetparks.org/parks/demolay-sandspit-nature-preserve/,1,Demolay Sandspit Nature Preserve,4.4,Demolay Sandspit Nature Preserve, ,yes, ,yes, ,yes, , ,yes, , , , , , ,yes, , , , , , , , , , ,5.5, ,No, ,3448.70344110308,481849.697935929
305,2768,Wildlife Habitat,Resource Conservancy,716 9th Ave,Fox Island,98333,Fox Island Comunity and Recreation Association,Fox Island Comunity and Recreation Association,Dawn to Dusk,0,0,http://www.foxislandwa.net/nature_center.htm,1,Fox Island Nature Center,5.02962705,Fox Island Nature Center, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1986.73703024196,219089.662427215
306,2770,Park,Undeveloped Sites,South Prairie Rd E,Bonney Lake,98391,City of Bonney Lake,City of Bonney Lake,Dawn to Dusk,0,50, ,1,Bonney Lake Midtown Park,45.47284929,Bonney Lake Midtown Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,6417.18255295997,1980789.35622318
307,2771,Park,Local,132 Mashell Ave N,Eatonville,98328,Town of Eatonville,Town of Eatonville,No hours set,0,0, ,1,Town Square,0.16766568,Town Square, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,363.616739847165,7303.48054468541
308,2776,Park,Linear Park,401 Washington Ave SE,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),7.58,0,http://www.cityoforting.org/Parks___Recreation.php,1,Charter Park,7.54958918,Charter Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3751.46234190878,328858.76162081
309,2779,Park,Undeveloped Sites,5700 BLK 57TH AV W,University Place,98467,City of University Place,City of University Place,Currently undeveloped,0,14.98, ,1,Creekside Park,15.39807723,Creekside Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,3378.61000445612,670737.574702416
310,2782,Park,Local,Eckenstam Johnson Rd,Anderson Island,98303,Anderson Island Park District,Anderson Island Park District, ,0,0, ,1,Jacobs Point Park,86.13242665,Jacobs Point Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,10329.9936082743,3751913.60122224
311,152,Park,Regional,Between McNeil and Anderson Island,Anderson Island,98303,State of Washington,Washington State Parks,8 am to Dusk,0,10,http://www.parks.wa.gov/parks/?selectedpark=Eagle%20Island&subject=all,1,Eagle Island State Park,6.69771882,Eagle Island State Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2099.34809678191,291751.485399388
312,175,Park,Local,1400 S Sheridan Ave,Tacoma,98405,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0.64,0,http://www.metroparkstacoma.org/ferry-park,1,Ferry Park,0.71560537,Ferry Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,758.937579490428,31171.6269379319
314,237,Park,Local,Le Lou Wa Pl NE At East Side Dr NE,Tacoma,98422,Not Specified,Not Specified,Dawn to Dusk (unless otherwise posted),0.1598,0, ,1,Meeker Memorial,0.15983489,Meeker Memorial, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,398.323908340024,6962.37840015991
315,263,Park,Regional,"Tahoma Woods, Star Route",Ashford,98304,U.S. Federal Government,U.S. Federal Government,Varies with Season,0,199580,http://www.nps.gov/MORA/index.htm,1,Mt. Rainier National Park,199580.268938,Mt. Rainier National Park, ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,0,"Ascending to 14,410 feet above sea level, Mount Rainier stands as an icon in the Washington landscape. An active volcano, Mount Rainier is the most glaciated peak in the contiguous U.S.A., spawning five major rivers. Subalpine wildflower meadows ring the",Yes,Yes,431396.765182577,8693681741.13471
316,287,Park,Local,3100 N Proctor ST,Tacoma,98407,City of Tacoma,Metro Parks Tacoma,Dawn to Dusk,0.88,0,http://www.metroparkstacoma.org/puget-park,1,Puget Park,1.08884346,Puget Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,926.484524253625,47429.8449104947
317,291,Trail,Linear Park,Runs along Puyallup River-Milwaukee Bridge to 7th St,Puyallup,98371,City of Puyallup,City of Puyallup,8 am to Dusk,1.2372,0,http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/puyallup-riverwalk-trail/,1,Puyallup Riverwalk Trail,14.1900091,Puyallup Riverwalk Trail, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,11467.9170168173,618114.326757118
318,1867,Park,Local,Union Av and Commericial St,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,0.18,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#byrd_mill,1,Byrd Mill Park,0.05838814,Byrd Mill Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,236.498635814939,2543.38140900338
319,1868,Park,Special Use,Pacific and Lafayette St,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,0.275,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#charlies,1,Charlie's Park,0.35576284,Charlie's Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,640.274597172923,15496.9628129681
320,1896,Park,Local,Queets St and Manitoba Av,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,0.293,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#manitoba,1,Manitoba Park,0.27592657,Manitoba Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,560.11742767783,12019.3205216203
321,1898,Park,Local,Commercial and Wilkes,Steilacoom,98388,Town of Steilacoom,Town of Steilacoom,Dawn to Dusk,1,0,http://www.townofsteilacoom.com/activities/parks_recreation.htm#pioneer,1,Pioneer Park,1.05391331,Pioneer Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1088.91843085832,45908.306753652
322,2678,Park,Local,River Ave SE and Bridge St SE,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),0,0, ,1,Triangle Park- Orting,0.1939635,Triangle Park (Orting), , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,417.318965752869,8449.01248211296
323,1852,Trail,Linear Park,2626 Hollycroft Street,Gig Harbor,98335,City of Gig Harbor,City of Gig Harbor,Dawn to Dusk (unless otherwise posted),0.47,0,http://www.cityofgigharbor.net/page.php?id=699#Cushman Trail,1,Cushman Trailhead Park,6.46326618,Cushman Trailhead Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,6510.99226811779,281538.770546855
324,1862,Park, ,Railroad Av, , ,Town of Wilkeson,Town of Wilkeson, ,0.29,0, ,1,Wilkeson Park Property,1.5699503,Wilkeson Park Property, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1643.6668556336,68431.7582696989
325,1861,Park,Local,Ridge View Dr,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,0.9,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,"Tract ""I"" Park",0.97244122,"Tract ""I"" Park", , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1166.9812148434,42344.688720872
326,3116,Park,Local,Ridge View Place,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,0.33,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Parkview Neighborhood Park,0.33270477,Parkview Neighborhood Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,714.967156631345,14492.5655572058
327,3114,Park,Local,1610 Sequalitchew Dr,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,0.53,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Creekside Neighborhood Park,0.56165111,Creekside Neighborhood Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,1558.23769800907,24562.5621392817
328,3113,Park,Local,1280 Bell Hill Pl,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,0.43,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Bell Hill Neighborhood Park,0.42764234,Bell Hill Neighborhood Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,876.693987405866,18589.3207474661
329,3112,Park,Local,Bell Hill Pl,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,3.34,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Bell Hill Community Park,3.34589393,Bell Hill Community Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2017.44705960409,145769.491146315
330,3115,Park,Local,3475 Hoffman Hill Blvd,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,1,0,http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html,1,Hoffman Hill Neighborhood Park,0.94967112,Hoffman Hill Neighborhood Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,810.590579513185,41400.962047813
331,1862,Park, ,2605 Bronson Av,DuPont,98327,City of DuPont,City of DuPont,Dawn to Dusk,2.45,0, ,1,Edmond Village Park,2.44583971,Edmond Village Park, , , , , , , , , , , , , , , , , , , , , , , , , , ,0, ,No, ,2122.22317267491,106502.228504043
334,126,Park,County,2022 198th Ave E,Bonney Lake,98391,Pierce County,Pierce County Parks and Recreation Services,7:30 am - 8 pm from April through September,2,60,https://www.co.pierce.wa.us/1326/Lake-Tapps-Park,1,North Lake Tapps Park,134.56677284,North Lake Tapps Park, ,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,135.2,"This popular swimming and boat launch area is located on the north side of Lake Tapps. The 135-acre site is mostly wooded and undeveloped with the exception of parking areas, boat launch, and swimming beach along the waterfront.",Yes, ,16901.4192560754,5861726.55273361
335,202,Rec Area,County,9010 128th Street E,Puyallup,98373,Puyallup School District,Pierce County Parks and Recreation Services,6:30 am until dusk (unless otherwise posted). The gates are closed at 4:30 pm for the month of January.,81.16,0,https://www.co.pierce.wa.us/1325/Heritage-Recreation-Center,1,Heritage Recreation Center,41.40566189,Heritage Recreation Center, ,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,46.9,"Heritage is a popular world class sports complex that boasts baseball, soccer and multi-purpose fields in addition to remarkable trails where nature thrives in the heart of South Hill, Puyallup. Additionally, Heritage Recreation Center is linked to the S",Yes, ,8276.41846733641,1803623.61899597
337,184,Trail,Linear Park,SR165 E,Carbonado,98323,Town of Carbonado,Town of Carbonado,Dawn to Dusk,19.74,0,http://www.co.pierce.wa.us/2343/Wilkeson-to-Carbonado,1,Foothills Trail- Carbonado,20.37184759,Foothills Trail- Carbonado, ,No,No, ,No,Yes,No,No,No,No, ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0, ,No, ,18223.9568137599,887403.848146494
339,2774,Trail Head,Linear,13810 80th Street,Puyallup,98372,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk (Unless otherwise posted),0,0,https://www.piercecountywa.org/1393/Trailheads,1,Foothills Trail- East Puyallup Trailhead,2.09037552,Foothills Trail- East Puyallup Trailhead, ,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,"The East Puyallup Trailhead features a restroom facility, kiosk, bicycle rack, equestrian hitching post and 23 parking spaces. ",Yes, ,1563.45068045498,67638.3494157394
340,2674,Trail,Linear Park,401 Washington Av SE,Orting,98360,City of Orting,City of Orting,Dawn to Dusk (unless otherwise posted),19,0,https://www.piercecountywa.org/2340/McMillin-to-Orting,1,Foothills Trail- McMillin through Orting,19.46269151,Foothills Trail- McMillin to Orting, ,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,0,"The McMillin Trailhead is a popular starting spot for bikers, skaters and stroller pushers. Most of this 2.3 mile section is parallel to SR 162.",Yes, ,33334.4355644892,932327.130125329
341,374,Trail,Linear, ,Orting,98360,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk (unless otherwise posted),129.42,0,https://www.piercecountywa.org/2339/East-Puyallup-to-McMillin,1,Foothills Trail- Meeker to McMillin Section,143.10030846,Foothills Trail- Meeker to McMillin, ,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,The East Puyallup to McMillin section of the Foothills Trail is four miles of trail that winds through trees and farms and runs alongside an active railway.,Yes, ,52520.4078031375,6148394.91621093
342,375,Trail,Linear,Washington Ave SE,Orting,98360,Pierce County,City of Orting,Dawn to Dusk (unless otherwise posted),119.69,0,https://www.piercecountywa.org/2341/Orting-to-South-Prairie,1,Foothills Trail- Orting to South Prairie Section,125.78907556,Foothills Trail- Orting to South Prairie, ,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,0,"This diverse section of trail, at almost 11 miles, is the longest section of the Foothills route. There are three rest stops and all of them have been acquired through private gifts. This section includes a cattle farm and a buffalo ranch, but the real f",Yes, ,80692.2842146436,5479109.27239906
343,373,Trail,Linear, ,Orting,98360,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk (unless otherwise posted),68,0,https://www.piercecountywa.org/2342/South-Prairie-to-Buckley,1,Foothills Trail- Buckley to South Prairie Section,69.13506995,Foothills Trail- South Prairie to Buckley, ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,"This trail section extends from South Prairie Creek in the Town of South Prairie to Buckley. The main stem now stops at South Prairie, about three miles short of its planned end point on the edge of Buckley.",Yes, ,46712.2379442422,3011159.92964642
344,2760,Trail,Linear Park,Quinnon Ext Rd E,Wilkeson,98396,Town of Wilkeson,Town of Wilkeson,Dawn to Dusk (unless otherwise posted),0,9.42, ,1,Foothills Trail- Town of Wilkeson,9.7752299,Foothills Trail- Town of Wilkeson, ,No,No, ,Yes,No,No,No,No,No, ,No,No,No,No,No,No,No,No, ,No, ,No, , , ,0, ,No, ,12864.6809415361,425805.982532073
346,2775,Trail Head,Linear,1st St,South Prairie,98385,Pierce County,Pierce County Parks and Recreation Services,Dawn to Dusk (Unless otherwise posted),1.8,0,https://www.piercecountywa.org/2342/South-Prairie-to-Buckley,1,Foothills Trail- South Prairie Trailhead,2.02933167,Foothills Trail- South Prairie Trailhead, ,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,"The South Prairie Trail trailhead will have parking for 20 vehicles, plus an information kiosk and a sani-can enclosure. This section of the Foothills Trail will link the towns of Buckley to the east and Orting to the west.",Yes, ,3568.75331213083,88359.1717371607
352,390,Park,Local Park,10405 SR 302,Gig Harbor,98329,Key Pen Parks,Key Pen Parks,Daylight hours,39,34,https://www.keypenparks.com/gateway-park.html,1,Gateway Park,72,Gateway Park,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,72,,no,,7700.86800254551,3118829.20090271
356,389,Undeveloped,Resource Conservancy,10527 Wright Bliss Rd NW,Gig Harbor,98329,WA DNR,Key Pen Parks,Dawn to Dusk,,480,https://www.keypenparks.com/key-central-forest.html,1,Key Central Forest,480,Key Central Forest,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,480,,no,,23976.5730337416,21149092.5539997
357,800,Park,Local,3401 8th Ave SE,Puyallup,98372,City of Puyallup,City of Puyallup,,18,,http://www.cityofpuyallup.org/1278/Van-Lierop-Park,1,Van Lierop Park,18.12,Van Lierop Park,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,18,,no,,4221.23279064565,757289.324783241
359,803,Park,Special Use,2120 14th Ave NW,Gig Harbor ,98335,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,Dawn to dusk,9,,https://penmetparks.org/parks/tubbys-trail-dog-park/,1,Tubby's Trail Dog Park,8.5,Tubby's Trail Dog Park,,yes,,yes,,,,,yes,,yes,,,,,,,,,,,,,,,,8.5,,no,,2879.3138985204,371392.450411231
360,804,Park,Special Use,10100 Bujajich Rd NW,Gig Harbor,98332,Peninsula Metropolitan Park District,Peninsula Metropolitan Park Distric,Dawn to dusk,15,60,https://penmetparks.org/parks/rotary-bark-park/,1,Rotary Bark Park,74.9,Rotary Bark Park,,yes,,,,yes,,,yes,,yes ,,,,,,,,,,,,,,,,75,,no,,9972.51077312178,3313227.07980807
361,805,Park,Special Use,13th Ave & Leschi Dr,Fox Island ,98333,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,dawn to dusk,0.3,,https://penmetparks.org/parks/cedrona-bay-boat-launch/,1,Cedrona Bay Boat Launch,0.2961,Cedrona Bay Boat Launch,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,0.3,,no,,523.660925099753,11947.5259048797
362,806,Park,Special Use,5003 Wollochet Dr NW,Gig Harbor ,98335,Peninsula Metropolitan Park District,Peninsula Metropolitan Park District,,9,,https://penmetparks.org/parks/peninsula-gardens/,1,Peninsula Gardens,8.89,Peninsula Gardens,,yes,,yes,,,,yes,yes,,,,,,,,,,,,,,,,,,9,,no,,3634.20381329506,378530.155000667
